total_reward,stuck_count,sensor_mean,sensor_max,robbo,full_stuck_count
-241,35,0.026884838478753562,0.10942212003560416,#0,6
-78,39,0.0,0.0,,0
-389,37,0.061692989094758184,0.16707866183718958,#2,7
-195,33,0.026146489200897526,0.09915757114439425,#0,3
-48,12,0.0066248751181283315,0.025425177781196875,,0
-426,37,0.07986118061240542,0.1735644083999956,#2,5
-189,26,0.028771907356531297,0.12150906638611934,#0,2
-49,19,0.004013583057604929,0.018000659173578657,,0
-438,42,0.07520099838998932,0.1706295089630056,#2,8
-205,41,0.027508719075772486,0.11118109029914724,#0,3
-28,12,0.0014642372687175354,0.009099363155162314,,0
-346,35,0.06513394234953047,0.1692973316023101,#2,3
-219,48,0.024847189366730353,0.09606861395336362,#0,4
-149,28,0.01956964794373575,0.07952247185393872,,1
-402,44,0.07239244800664875,0.17683332473614136,#2,2
-166,40,0.019844552427651353,0.1007043714945216,#0,2
-76,26,0.007348070911685148,0.0315341062014134,,0
-408,38,0.072016510037441,0.17111711931665072,#2,6
-179,38,0.02235879348609676,0.10753501061660391,#0,3
-54,19,0.004777174842417266,0.02297780932355647,,0
-419,42,0.07658528426727323,0.1697826061146562,#2,6
-126,25,0.02175044128287158,0.10114402758890916,#0,1
-121,16,0.02039933441877889,0.10284127336828366,,1
-332,37,0.05981086753214499,0.16735478342715152,#2,8
-194,33,0.02944931615457361,0.10024124293321561,#0,1
-65,21,0.005932134435080579,0.0279701687646852,,0
-359,41,0.0616881885260781,0.1730556342850052,#2,7
-199,32,0.02988174206564302,0.11575138040858994,#0,0
-68,34,0.0,0.0,,0
-348,35,0.06601609906088525,0.17700243949643438,#2,2
-218,39,0.02936696600011223,0.12674253497942192,#0,4
-171,26,0.029111239071942116,0.11199043617130151,,1
-320,31,0.059631302082617764,0.16478534117754406,#2,8
-166,32,0.030683817890108097,0.13672871989833665,#0,0
-46,13,0.007187368123793844,0.04204550531955941,,0
-356,31,0.07336615422673669,0.17318451863912052,#2,2
-155,33,0.02270755358347647,0.10704117179528695,#0,0
-72,32,0.002106992767302555,0.010408963431331256,,0
-361,42,0.06091923730738182,0.16683992949063287,#2,7
