food_collected,total_reward,steps,steps/food
4,246.25,124,31
7,76.5,28,4
6,-613,124,20.66666667
7,230.75,76,10.85714286
7,-63.75,82,11.71428571
7,153.75,89,12.71428571
5,86.5,124,24.8
7,-351,124,17.71428571
7,162,124,17.71428571
7,207.25,54,7.714285714
6,26,124,20.66666667
6,-200.25,124,20.66666667
7,253,86,12.28571429
7,97.5,80,11.42857143
7,164,42,6
6,-35.25,124,20.66666667
7,218.5,94,13.42857143
6,-198.25,124,20.66666667
6,293.25,124,20.66666667
6,-235.25,124,20.66666667
6,44,124,20.66666667
6,78,124,20.66666667
4,-240.75,124,31
7,15.25,64,9.142857143
7,172.75,116,16.57142857
6,-139,124,20.66666667
7,214.5,99,14.14285714
7,199.25,73,10.42857143
6,-452.25,124,20.66666667
7,230,82,11.71428571
